libxshmfence-dev:amd64	1.2-1
libxslt1-dev:amd64	1.1.28-2.1
libxss-dev:amd64	1:1.2.2-1
libxt-dev:amd64	1:1.1.5-0ubuntu1
libxtables11:amd64	1.6.0-2ubuntu3
libxtst-dev:amd64	2:1.2.2-1
libxtst6:i386	2:1.2.2-1
libxtst6-dbg:amd64	2:1.2.2-1
libxxf86vm-dev:amd64	1:1.1.4-1
libyaml-perl	1.15-1
linux-base	4.0ubuntu1
linux-doc	4.4.0-38.57
linux-generic	4.4.0.38.40
linux-image-extra-4.4.0-36-generic	4.4.0-36.55
linux-image-extra-virtual	4.4.0.38.40
linux-libc-dev:i386	4.4.0-38.57
linux-libc-dev-armel-cross	4.4.0-18.34cross1
linux-libc-dev-armhf-cross	4.4.0-18.34cross1
linux-signed-generic	4.4.0.38.40
linux-signed-image-generic	4.4.0.38.40
locales	2.23-0ubuntu3
login	1:4.2-3.1ubuntu5
logrotate	3.8.7-2ubuntu2
lsb-base	9.20160110ubuntu0.2
lsb-release	9.20160110ubuntu0.2
makedev	2.3.1-93ubuntu1
mawk	1.3.3-17ubuntu2
